clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo  339 | Valor central: 81.82393934 | Tempo: 0.001240 s
[CUDA] Passo  340 | Valor central: 81.77651419 | Tempo: 0.001254 s
[CUDA] Passo  341 | Valor central: 81.72912144 | Tempo: 0.001245 s
[CUDA] Passo  342 | Valor central: 81.68176105 | Tempo: 0.001257 s
[CUDA] Passo  343 | Valor central: 81.63443299 | Tempo: 0.001242 s
[CUDA] Passo  344 | Valor central: 81.58713726 | Tempo: 0.001258 s
[CUDA] Passo  345 | Valor central: 81.53987381 | Tempo: 0.001242 s
[CUDA] Passo  346 | Valor central: 81.49264263 | Tempo: 0.001253 s
[CUDA] Passo  347 | Valor central: 81.44544369 | Tempo: 0.001242 s
[CUDA] Passo  348 | Valor central: 81.39827697 | Tempo: 0.001252 s
